timeTick,AVERAGE_WIND_SPEED_60S,GRID_UL1,GRID_UL2
2019-02-26 17:10:05,0.00,399.30,399.90
2019-02-26 17:23:20,0.00,400.80,399.00
2019-02-26 17:33:20,0.45,399.30,399.00
2019-02-26 17:43:20,0.29,400.50,399.60
2019-02-26 17:53:20,0.24,400.80,399.00
2019-02-26 18:03:20,0.00,400.20,398.10
2019-02-26 18:13:20,0.00,400.80,399.90
2019-02-26 18:23:20,0.00,400.80,399.00
2019-02-26 18:36:04,0.00,398.40,401.40
2019-02-26 18:46:04,0.00,401.70,401.40
2019-02-26 18:56:04,0.00,397.80,402.00
2019-02-26 19:06:04,0.00,398.40,403.20
2019-02-26 19:16:04,0.20,399.30,402.60
2019-02-26 19:26:04,0.41,399.00,402.30
2019-02-26 19:36:04,0.56,400.50,402.00
2019-02-26 19:46:04,1.22,400.20,402.00
2019-02-26 19:56:04,0.67,400.20,401.40
2019-02-26 20:06:04,0.71,400.50,401.70
2019-02-26 20:16:04,0.58,400.50,401.10
2019-02-26 20:26:04,0.58,401.40,401.10
2019-02-26 20:36:04,0.68,401.10,401.70
2019-02-26 20:46:04,0.75,400.20,402.00
2019-02-26 20:56:04,0.92,401.70,402.00
2019-02-26 21:06:04,0.81,400.80,401.70
2019-02-26 21:16:04,0.85,400.50,401.70
2019-02-26 21:26:04,1.04,399.90,401.40
2019-02-26 21:36:04,1.08,399.90,401.40
2019-02-26 21:46:04,1.15,399.90,401.10
2019-02-26 21:56:04,1.44,399.30,401.70
2019-02-26 22:06:04,3.37,400.20,401.40
2019-02-26 22:16:04,3.33,400.20,402.30
2019-02-26 22:26:04,3.72,399.90,402.30
2019-02-26 22:36:04,3.99,399.60,401.40
2019-02-26 22:46:04,4.16,399.60,402.00
2019-02-26 22:56:04,4.39,400.20,401.10
2019-02-26 23:06:04,4.87,401.10,401.40
2019-02-26 23:16:04,4.70,400.80,401.40
2019-02-26 23:26:04,4.64,400.80,401.10
2019-02-26 23:36:04,5.08,400.50,400.80
2019-02-26 23:46:04,5.27,400.50,401.70
2019-02-26 23:56:04,4.93,400.20,401.10
2019-02-27 00:00:04,5.13,400.50,401.10
2019-02-27 00:10:04,5.70,400.20,401.40
2019-02-27 00:20:04,5.90,400.20,401.10
2019-02-27 00:30:04,5.72,400.50,401.40
2019-02-27 00:40:04,6.18,400.80,401.40
2019-02-27 00:50:04,6.13,400.20,401.10
2019-02-27 01:00:04,5.83,400.80,401.10
2019-02-27 01:10:04,5.75,399.00,401.10
2019-02-27 01:20:04,6.04,399.00,402.00
2019-02-27 01:30:04,5.55,399.30,401.10
2019-02-27 01:40:04,6.48,400.50,402.00
2019-02-27 01:50:04,6.32,401.10,400.80
